<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ГАЗПРОМ ао	M	воскресенье, 1 сентября 2019 г.	0	225,90	514 923 280,00 _
ГАЗПРОМ ао	M	вторник, 1 октября 2019 г.	0	260,00	763 625 060,00 _
ГАЗПРОМ ао	M	пятница, 1 ноября 2019 г.	0	257,54	1 496 648 200,00 _
ГАЗПРОМ ао	M	воскресенье, 1 декабря 2019 г.	0	256,40	850 735 710,00 _
ГАЗПРОМ ао	M	среда, 1 января 2020 г.	0	226,70	943 229 040,00 _
ГАЗПРОМ ао	M	суббота, 1 февраля 2020 г.	0	202,65	1 068 549 530,00 _
ГАЗПРОМ ао	M	воскресенье, 1 марта 2020 г.	0	181,41	2 274 256 090,00 _
ГАЗПРОМ ао	M	среда, 1 апреля 2020 г.	0	190,00	1 151 699 700,00 _
ГАЗПРОМ ао	M	пятница, 1 мая 2020 г.	0	199,95	1 119 152 560,00 _
ГАЗПРОМ ао	M	понедельник, 1 июня 2020 г.	0	194,31	949 645 980,00 _
ГАЗПРОМ ао	M	среда, 1 июля 2020 г.	0	182,59	841 671 960,00 _
ГАЗПРОМ ао	M	суббота, 1 августа 2020 г.	0	182,90	716 152 090,00 _
Сбербанк	M	суббота, 1 декабря 2012 г.	0	92,94	1 191 987 680,00 _
Сбербанк	M	вторник, 1 января 2013 г.	0	109,59	1 723 351 580,00 _
Сбербанк	M	пятница, 1 февраля 2013 г.	0	104,57	1 612 212 000,00 _
Сбербанк	M	пятница, 1 марта 2013 г.	0	98,86	1 691 490 080,00 _
Сбербанк	M	понедельник, 1 апреля 2013 г.	0	99,11	1 576 313 810,00 _
Сбербанк	M	среда, 1 мая 2013 г.	0	99,05	1 514 417 130,00 _
Сбербанк	M	суббота, 1 июня 2013 г.	0	93,68	1 603 984 540,00 _
Сбербанк	M	понедельник, 1 июля 2013 г.	0	95,23	1 721 040 080,00 _
Сбербанк	M	четверг, 1 августа 2013 г.	0	88,23	1 414 145 480,00 _
Сбербанк	M	воскресенье, 1 сентября 2013 г.	0	97,86	1 926 407 650,00 _
Сбербанк	M	вторник, 1 октября 2013 г.	0	102,74	1 935 002 670,00 _
Сбербанк	M	пятница, 1 ноября 2013 г.	0	103,07	1 659 044 880,00 _
Сбербанк	M	воскресенье, 1 декабря 2013 г.	0	101,17	1 563 416 090,00 _
Сбербанк	M	среда, 1 января 2014 г.	0	94,70	1 427 259 190,00 _
Сбербанк	M	суббота, 1 февраля 2014 г.	0	91,16	1 510 458 530,00 _
Сбербанк	M	суббота, 1 марта 2014 г.	0	83,80	4 898 591 710,00 _
Сбербанк	M	вторник, 1 апреля 2014 г.	0	72,50	4 013 046 200,00 _
Сбербанк	M	четверг, 1 мая 2014 г.	0	84,50	3 001 439 250,00 _
Сбербанк	M	воскресенье, 1 июня 2014 г.	0	84,50	2 008 494 660,00 _
Сбербанк	M	вторник, 1 июля 2014 г.	0	73,60	2 551 370 010,00 _
Сбербанк	M	пятница, 1 августа 2014 г.	0	73,21	3 076 887 590,00 _
Сбербанк	M	понедельник, 1 сентября 2014 г.	0	75,52	2 891 411 920,00 _
Сбербанк	M	среда, 1 октября 2014 г.	0	76,23	2 905 609 940,00 _
Сбербанк	M	суббота, 1 ноября 2014 г.	0	72,25	2 030 051 460,00 _
Сбербанк	M	понедельник, 1 декабря 2014 г.	0	54,90	4 337 561 310,00 _
Сбербанк	M	четверг, 1 января 2015 г.	0	61,50	2 691 982 770,00 _
Сбербанк	M	воскресенье, 1 февраля 2015 г.	0	75,91	3 583 789 870,00 _
Сбербанк	M	воскресенье, 1 марта 2015 г.	0	62,88	2 785 656 310,00 _
Сбербанк	M	среда, 1 апреля 2015 г.	0	76,90	3 217 030 850,00 _
Сбербанк	M	пятница, 1 мая 2015 г.	0	73,50	1 830 904 250,00 _
Сбербанк	M	понедельник, 1 июня 2015 г.	0	72,35	1 885 405 260,00 _
Сбербанк	M	среда, 1 июля 2015 г.	0	72,30	2 690 621 070,00 _
Сбербанк	M	суббота, 1 августа 2015 г.	0	74,50	2 488 111 940,00 _
Сбербанк	M	вторник, 1 сентября 2015 г.	0	75,30	2 008 042 110,00 _
Сбербанк	M	четверг, 1 октября 2015 г.	0	90,53	2 849 625 200,00 _
Сбербанк	M	воскресенье, 1 ноября 2015 г.	0	102,90	2 286 927 960,00 _
